,criterion,max_depth,min_samples_leaf,score,model,Test_Accuracy,algorithm,leaf_size,n_neighbors,p,weights,C,dual,penalty
66,gini,7.0,7.0,0.7898450946643718,DecisionTreeClassifier,0.769747031491998,,,,,,,,
68,gini,7.0,9.0,0.7896729776247848,DecisionTreeClassifier,0.769747031491998,,,,,,,,
69,gini,7.0,10.0,0.7893287435456111,DecisionTreeClassifier,0.769747031491998,,,,,,,,
61,gini,7.0,2.0,0.7891566265060241,DecisionTreeClassifier,0.769747031491998,,,,,,,,
67,gini,7.0,8.0,0.7891566265060241,DecisionTreeClassifier,0.769747031491998,,,,,,,,
65,gini,7.0,6.0,0.7889845094664372,DecisionTreeClassifier,0.769747031491998,,,,,,,,
62,gini,7.0,3.0,0.7886402753872634,DecisionTreeClassifier,0.769747031491998,,,,,,,,
63,gini,7.0,4.0,0.7881239242685026,DecisionTreeClassifier,0.769747031491998,,,,,,,,
60,gini,7.0,1.0,0.7881239242685026,DecisionTreeClassifier,0.769747031491998,,,,,,,,
64,gini,7.0,5.0,0.7876075731497417,DecisionTreeClassifier,0.769747031491998,,,,,,,,
268,entropy,7.0,9.0,0.787435456110155,DecisionTreeClassifier,0.769747031491998,,,,,,,,
468,log_loss,7.0,9.0,0.787435456110155,DecisionTreeClassifier,0.769747031491998,,,,,,,,
269,entropy,7.0,10.0,0.787263339070568,DecisionTreeClassifier,0.769747031491998,,,,,,,,
469,log_loss,7.0,10.0,0.787263339070568,DecisionTreeClassifier,0.769747031491998,,,,,,,,
450,log_loss,6.0,1.0,0.7865748709122202,DecisionTreeClassifier,0.769747031491998,,,,,,,,
250,entropy,6.0,1.0,0.7865748709122202,DecisionTreeClassifier,0.769747031491998,,,,,,,,
260,entropy,7.0,1.0,0.7864027538726334,DecisionTreeClassifier,0.769747031491998,,,,,,,,
460,log_loss,7.0,1.0,0.7864027538726334,DecisionTreeClassifier,0.769747031491998,,,,,,,,
265,entropy,7.0,6.0,0.7862306368330465,DecisionTreeClassifier,0.769747031491998,,,,,,,,
256,entropy,6.0,7.0,0.7862306368330465,DecisionTreeClassifier,0.769747031491998,,,,,,,,
465,log_loss,7.0,6.0,0.7862306368330465,DecisionTreeClassifier,0.769747031491998,,,,,,,,
